trial,value,dense_size,dropout,learning_rate,freeze_backbone,accuracy_train,accuracy_val,accuracy_test,temps d'entraînement,approche
0,0.7653121128323532,512,0.5072551117134392,0.0007454795396098119,False,0.9555555555555556,0.7666666666666667,0.7714285714285715,2450.4492559432983,Model_CvT_0
1,0.8360264091264634,256,0.37120905528789067,0.0010520857104143375,False,0.8904761904761904,0.7142857142857143,0.7238095238095238,2256.843320131302,Model_CvT_1
2,0.5883190314329806,128,0.46274900900813076,0.00043976126944117493,False,0.9174603174603174,0.8428571428571429,0.7761904761904762,2000.2666084766388,Model_CvT_2
3,0.4368008503246875,256,0.5484150299398325,0.001490001281397912,True,0.9492063492063492,0.8523809523809524,0.8809523809523809,1567.7136163711548,Model_CvT_3
4,0.5914262628182769,512,0.43665295474258053,0.000683139997436924,False,0.9857142857142858,0.8095238095238095,0.7761904761904762,2698.231375694275,Model_CvT_4
5,1.9214546294439407,512,0.3988965220795679,0.005386744964658891,False,0.16825396825396827,0.18095238095238095,0.2,2432.9514684677124,Model_CvT_5
6,1.9459208374931698,512,0.3060718791938792,0.007375462897444232,False,0.14285714285714285,0.14285714285714285,0.14285714285714285,5726.187568902969,Model_CvT_6
7,0.6553113904737291,128,0.44993101857241324,0.0005766876316903099,False,0.9317460317460318,0.8238095238095238,0.7761904761904762,1963.8485035896301,Model_CvT_7
8,0.4701971158983984,256,0.6727218128341044,0.0052297025455042565,True,0.9396825396825397,0.8571428571428571,0.8666666666666667,1252.3648583889008,Model_CvT_8
9,0.5149678932768958,128,0.5398477052202306,0.00018331524004177352,False,0.9777777777777777,0.8428571428571429,0.8,2716.741760969162,Model_CvT_9
10,0.4255030746349976,256,0.6029477815884313,0.002045510846821514,True,0.9666666666666667,0.8666666666666667,0.8523809523809524,1918.4072346687317,Model_CvT_10
11,0.42770827980268566,256,0.6044692711156539,0.0021247966020152527,True,0.9841269841269841,0.8571428571428571,0.8714285714285714,2220.2606041431427,Model_CvT_11
12,0.41727617312045323,256,0.6305299034196555,0.002425228450729228,True,0.9476190476190476,0.8714285714285714,0.8714285714285714,1418.9071824550629,Model_CvT_12
13,0.43527316188861037,256,0.6823275796614392,0.002841525088084414,True,0.9634920634920635,0.8571428571428571,0.8714285714285714,1892.715965270996,Model_CvT_13
14,0.4392811221602772,256,0.6148648150539593,0.003145644777944001,True,0.9507936507936507,0.861904761904762,0.8571428571428571,1422.4489514827728,Model_CvT_14
15,0.41405924707651137,256,0.6110118613182624,0.00023055472822620864,True,0.9761904761904762,0.8523809523809524,0.8809523809523809,7171.732998847961,Model_CvT_15
16,0.43348357060125897,256,0.6572604711989317,0.00014757583547835967,True,0.9428571428571428,0.8523809523809524,0.8809523809523809,4163.342802524567,Model_CvT_16
17,0.4217365956288718,256,0.573710467130405,0.0002829736189296011,True,0.9682539682539683,0.8523809523809524,0.8761904761904762,3044.830874681473,Model_CvT_17
18,0.42526172428791015,256,0.6411184286506958,0.00029130321677719003,True,0.9603174603174603,0.8666666666666667,0.8809523809523809,3202.4462411403656,Model_CvT_18
19,0.5262851371651605,128,0.6966819483466633,0.00010085279248317758,True,0.8984126984126984,0.8523809523809524,0.8809523809523809,4015.4948341846466,Model_CvT_19
